# Speed (Mbps)   Latency (ms)
    1.0000     2.3573
    1.2965     0.0000
    1.5930     0.3453
    1.8894     0.0000
    2.1859     2.9198
    2.4824     0.2905
    2.7789     0.9486
    3.0754     0.0000
    3.3719     0.7782
    3.6683     3.1575
    3.9648     0.0000
    4.2613     3.0407
    4.5578     3.9951
    4.8543     0.0000
    5.1508     0.1657
    5.4472     1.0455
    5.7437     2.7220
    6.0402     0.9695
    6.3367     2.3162
    6.6332     4.0254
    6.9296     0.2216
    7.2261     0.6101
    7.5226     2.3396
    7.8191     0.4521
    8.1156     0.1721
    8.4121     0.0000
    8.7085     2.9628
    9.0050     0.8759
    9.3015     1.7331
    9.5980     0.3549
    9.8945     0.0000
   10.1910     2.6117
   10.4874     1.7682
   10.7839     2.4055
   11.0804     4.3309
   11.3769     0.0000
   11.6734     0.8176
   11.9698     0.2923
   12.2663     4.2355
   12.5628     0.9686
   12.8593     3.0739
   13.1558     2.2820
   13.4523     1.5082
   13.7487     1.0982
   14.0452     1.5029
   14.3417     3.4014
   14.6382     2.0784
   14.9347     2.0710
   15.2312     0.9833
   15.5276     0.9619
   15.8241     5.8644
   16.1206     0.9689
   16.4171     0.5799
   16.7136     2.1733
   17.0101     1.5168
   17.3065     3.5085
   17.6030     2.6654
   17.8995     4.3042
   18.1960     5.2808
   18.4925     4.9243
   18.7889     7.3304
   19.0854     7.2165
   19.3819     1.7625
   19.6784     1.7135
   19.9749     2.9247
   20.2714     5.9330
   20.5678     4.6403
   20.8643     6.2453
   21.1608     4.0038
   21.4573     6.6185
   21.7538     3.5997
   22.0503     8.6555
   22.3467     5.0382
   22.6432     3.5758
   22.9397     6.5486
   23.2362     3.8461
   23.5327     5.7550
   23.8291     5.7916
   24.1256     5.4724
   24.4221     4.9695
   24.7186     5.2266
   25.0151     4.7241
   25.3116     3.8744
   25.6080     9.5080
   25.9045     8.0865
   26.2010     6.4049
   26.4975     9.3190
   26.7940     4.3129
   27.0905     7.6063
   27.3869     6.8284
   27.6834     6.3941
   27.9799     7.3535
   28.2764     9.6775
   28.5729    12.6173
   28.8693     7.9684
   29.1658    10.7237
   29.4623     9.0058
   29.7588     6.5783
   30.0553     9.4857
   30.3518    11.0734
   30.6482     8.6216
   30.9447    12.0932
   31.2412     9.5119
   31.5377    11.2057
   31.8342    12.0644
   32.1307    12.6004
   32.4271    13.3687
   32.7236     7.8280
   33.0201     9.7764
   33.3166     9.1364
   33.6131    10.3100
   33.9095     9.1526
   34.2060    14.9926
   34.5025    16.4881
   34.7990     8.8413
   35.0955    12.3003
   35.3920    12.1616
   35.6884    14.9810
   35.9849    11.7099
   36.2814    10.4910
   36.5779    13.4520
   36.8744    11.2820
   37.1709    27.2959
   37.4673    26.7936
   37.7638    25.3192
   38.0603    22.6510
   38.3568    23.9316
   38.6533    23.5910
   38.9497    24.4574
   39.2462    28.3807
   39.5427    25.7060
   39.8392    25.9955
   40.1357    24.9215
   40.4322    27.3444
   40.7286    24.0347
   41.0251    27.3628
   41.3216    27.7849
   41.6181    23.8574
   41.9146    25.6677
   42.2111    27.3032
   42.5075    25.5138
   42.8040    27.0609
   43.1005    24.3938
   43.3970    21.2225
   43.6935    25.5033
   43.9899    23.7822
   44.2864    21.2261
   44.5829    26.6012
   44.8794    25.4983
   45.1759    25.3879
   45.4724    26.6645
   45.7688    30.4357
   46.0653    25.9444
   46.3618    26.1805
   46.6583    24.7857
   46.9548    26.0972
   47.2513    26.0953
   47.5477    24.9094
   47.8442    28.9095
   48.1407    22.8878
   48.4372    26.6266
   48.7337    26.8631
   49.0302    26.8393
   49.3266    31.9911
   49.6231    31.0629
   49.9196    22.3398
   50.2161    32.1829
   50.5126    30.6191
   50.8090    29.7598
   51.1055    27.2770
   51.4020    27.3454
   51.6985    28.5436
   51.9950    27.6006
   52.2915    27.9000
   52.5879    28.3005
   52.8844    26.8875
   53.1809    28.3167
   53.4774    28.4579
   53.7739    32.0566
   54.0704    32.1011
   54.3668    31.3345
   54.6633    36.0633
   54.9598    28.7877
   55.2563    29.9772
   55.5528    37.6092
   55.8492    31.5850
   56.1457    30.9206
   56.4422    34.5350
   56.7387    32.0297
   57.0352    31.4979
   57.3317    34.3499
   57.6281    34.2390
   57.9246    36.0795
   58.2211    35.0806
   58.5176    32.2639
   58.8141    32.5050
   59.1106    36.1717
   59.4070    37.1066
   59.7035    36.5977
   60.0000    37.8548
