# Speed (Mbps)   Latency (ms)
    1.0000     3.8620
    1.2965     3.4741
    1.5930     5.2666
    1.8894     6.2962
    2.1859     5.5583
    2.4824     1.1970
    2.7789     4.6170
    3.0754     2.8105
    3.3719     6.3470
    3.6683    11.3627
    3.9648     0.3467
    4.2613     6.7022
    4.5578     2.4400
    4.8543     5.1718
    5.1508     6.6604
    5.4472     1.5852
    5.7437     7.3310
    6.0402     6.3366
    6.3367     5.7943
    6.6332     3.9186
    6.9296     4.2427
    7.2261     7.0315
    7.5226     6.9631
    7.8191     4.8145
    8.1156     4.5395
    8.4121     7.6180
    8.7085     6.4351
    9.0050     7.8470
    9.3015     8.8605
    9.5980     7.5701
    9.8945     2.1374
   10.1910     3.3265
   10.4874     7.3865
   10.7839     5.4642
   11.0804     2.4341
   11.3769    10.9430
   11.6734     7.0463
   11.9698     3.7220
   12.2663     7.1972
   12.5628     4.2102
   12.8593     3.0050
   13.1558     8.5662
   13.4523     6.0836
   13.7487     6.5103
   14.0452     6.7755
   14.3417     5.1578
   14.6382     2.5391
   14.9347     6.4453
   15.2312     3.8009
   15.5276     4.1809
   15.8241     0.2361
   16.1206     7.3688
   16.4171     1.1925
   16.7136     5.9535
   17.0101     6.0218
   17.3065     3.9545
   17.6030     1.4824
   17.8995     7.6613
   18.1960     2.9805
   18.4925     6.9492
   18.7889     8.5225
   19.0854     6.4547
   19.3819     5.8313
   19.6784     5.5160
   19.9749     2.4208
   20.2714     3.6211
   20.5678     3.7215
   20.8643     5.3220
   21.1608     6.2221
   21.4573     2.8209
   21.7538     8.6325
   22.0503     3.3322
   22.3467     2.5867
   22.6432     8.1629
   22.9397     7.4656
   23.2362     5.9928
   23.5327     3.5161
   23.8291     6.0989
   24.1256     5.0532
   24.4221     3.6142
   24.7186     6.4550
   25.0151     2.1736
   25.3116     5.1685
   25.6080     3.9300
   25.9045     8.4742
   26.2010     9.0527
   26.4975     5.4339
   26.7940     5.9867
   27.0905     4.9143
   27.3869    10.5257
   27.6834     6.7850
   27.9799     6.3191
   28.2764     4.4135
   28.5729     6.6974
   28.8693     3.6652
   29.1658     6.4070
   29.4623     6.2616
   29.7588     5.0909
   30.0553     6.3361
   30.3518     5.8715
   30.6482     2.6112
   30.9447     6.2515
   31.2412     9.7492
   31.5377     4.3904
   31.8342     8.6056
   32.1307     2.8311
   32.4271     1.9928
   32.7236    13.3223
   33.0201     7.7661
   33.3166     6.2137
   33.6131     8.6988
   33.9095     7.6601
   34.2060     6.9829
   34.5025     9.3103
   34.7990     8.4970
   35.0955     5.4850
   35.3920     8.1782
   35.6884     7.0787
   35.9849     4.7576
   36.2814     6.0002
   36.5779     9.2412
   36.8744     6.6925
   37.1709     7.6892
   37.4673     9.4292
   37.7638     8.6536
   38.0603     4.5235
   38.3568     8.4765
   38.6533     8.8631
   38.9497     5.6387
   39.2462     5.9947
   39.5427     7.7075
   39.8392    11.7882
   40.1357     9.3089
   40.4322     8.2344
   40.7286     5.5379
   41.0251     7.6504
   41.3216     5.9472
   41.6181     6.8881
   41.9146     7.1347
   42.2111     8.8725
   42.5075     6.0542
   42.8040     9.5603
   43.1005     9.2303
   43.3970     9.2832
   43.6935     8.2431
   43.9899     9.9522
   44.2864     7.0356
   44.5829    11.1815
   44.8794     6.4676
   45.1759     6.0577
   45.4724     6.3627
   45.7688     9.6128
   46.0653    11.6599
   46.3618     7.7611
   46.6583     8.6517
   46.9548     7.1943
   47.2513     8.2519
   47.5477     5.2227
   47.8442    10.6212
   48.1407     8.7530
   48.4372     8.5430
   48.7337    10.3085
   49.0302     9.0315
   49.3266    10.1312
   49.6231     8.5439
   49.9196    10.8565
   50.2161     8.3692
   50.5126     9.6181
   50.8090     8.0367
   51.1055    11.7313
   51.4020    10.5491
   51.6985     9.6982
   51.9950     9.7581
   52.2915     5.6559
   52.5879    10.8560
   52.8844     8.6823
   53.1809     6.4585
   53.4774     9.2164
   53.7739    12.7048
   54.0704    10.8266
   54.3668     9.1246
   54.6633     5.5127
   54.9598    10.2002
   55.2563     7.3524
   55.5528    11.6551
   55.8492    13.9865
   56.1457     7.4854
   56.4422    11.8490
   56.7387    10.9872
   57.0352     9.8614
   57.3317     8.7012
   57.6281     9.5038
   57.9246    10.8450
   58.2211    10.5972
   58.5176     6.5623
   58.8141    11.0172
   59.1106     7.9796
   59.4070    10.4856
   59.7035    10.5789
   60.0000    14.3555
