# Speed (Mbps)   Latency (ms)
    1.0000     4.6253
    1.2965     5.6079
    1.5930     7.8284
    1.8894     5.2104
    2.1859     4.7868
    2.4824     3.6857
    2.7789     3.4583
    3.0754     5.4017
    3.3719     5.1506
    3.6683     4.5936
    3.9648     6.3760
    4.2613     6.8917
    4.5578     6.0623
    4.8543     6.5020
    5.1508     6.4688
    5.4472     6.2112
    5.7437     5.3756
    6.0402     8.1594
    6.3367     8.1481
    6.6332     6.8912
    6.9296     7.4321
    7.2261     8.1855
    7.5226     6.5409
    7.8191     7.9126
    8.1156     7.1454
    8.4121     7.9360
    8.7085     6.6835
    9.0050     9.4634
    9.3015     9.3538
    9.5980     7.5478
    9.8945     8.9447
   10.1910     8.6201
   10.4874     8.1711
   10.7839     8.0271
   11.0804     6.2404
   11.3769     8.3148
   11.6734     7.8289
   11.9698     6.4058
   12.2663     9.1576
   12.5628     6.3212
   12.8593     9.4569
   13.1558    11.6435
   13.4523     6.3523
   13.7487     7.5528
   14.0452     9.6156
   14.3417     7.7131
   14.6382     6.9870
   14.9347    10.8926
   15.2312     7.0964
   15.5276     9.8817
   15.8241     8.2469
   16.1206     9.1835
   16.4171    10.2601
   16.7136     7.1084
   17.0101    11.0245
   17.3065     9.4900
   17.6030    10.4002
   17.8995     9.6351
   18.1960     9.0243
   18.4925    11.2799
   18.7889     9.0145
   19.0854    10.2313
   19.3819     9.2437
   19.6784    10.3400
   19.9749     9.5322
   20.2714    10.9254
   20.5678     9.3377
   20.8643    11.1000
   21.1608    10.6319
   21.4573     8.9019
   21.7538    11.7877
   22.0503     8.8647
   22.3467    10.9131
   22.6432    10.7957
   22.9397    10.6027
   23.2362    11.5371
   23.5327    11.0563
   23.8291    11.8469
   24.1256     8.9523
   24.4221    12.8025
   24.7186    11.4527
   25.0151    12.6559
   25.3116    12.1329
   25.6080    10.2679
   25.9045    12.3210
   26.2010    12.5956
   26.4975    11.0282
   26.7940    10.6235
   27.0905    12.1960
   27.3869    11.8800
   27.6834     9.9174
   27.9799    13.0677
   28.2764    10.3268
   28.5729    11.7108
   28.8693    12.8867
   29.1658    11.2961
   29.4623    12.2221
   29.7588    11.2976
   30.0553    12.8797
   30.3518    12.7363
   30.6482    11.9284
   30.9447    12.1749
   31.2412    12.6524
   31.5377    12.7165
   31.8342    11.2970
   32.1307    12.5811
   32.4271    12.5838
   32.7236    11.7947
   33.0201    13.1420
   33.3166    13.0521
   33.6131    12.7263
   33.9095    13.2196
   34.2060    13.3192
   34.5025    13.4663
   34.7990    13.9585
   35.0955    13.3066
   35.3920    13.6843
   35.6884    14.0244
   35.9849    15.3233
   36.2814    12.4149
   36.5779    14.7976
   36.8744    16.4703
   37.1709    13.8362
   37.4673    14.2553
   37.7638    14.5860
   38.0603    13.1566
   38.3568    12.1078
   38.6533    14.8676
   38.9497    14.8807
   39.2462    14.9180
   39.5427    14.4239
   39.8392    15.0591
   40.1357    14.3478
   40.4322    14.0228
   40.7286    15.0133
   41.0251    15.9780
   41.3216    16.2844
   41.6181    16.8186
   41.9146    15.5820
   42.2111    16.0578
   42.5075    15.4779
   42.8040    15.4862
   43.1005    16.4525
   43.3970    16.3950
   43.6935    17.0827
   43.9899    16.8993
   44.2864    17.8397
   44.5829    15.2070
   44.8794    16.6256
   45.1759    17.4907
   45.4724    16.4897
   45.7688    17.0049
   46.0653    15.0112
   46.3618    14.8651
   46.6583    16.4348
   46.9548    18.6885
   47.2513    17.1973
   47.5477    16.7696
   47.8442    16.5409
   48.1407    14.0775
   48.4372    16.3435
   48.7337    18.4655
   49.0302    17.2581
   49.3266    17.7379
   49.6231    17.4198
   49.9196    18.2277
   50.2161    17.6192
   50.5126    17.0691
   50.8090    17.2752
   51.1055    18.1477
   51.4020    17.5124
   51.6985    17.7859
   51.9950    17.1742
   52.2915    17.5040
   52.5879    17.6670
   52.8844    18.3656
   53.1809    18.0203
   53.4774    17.5286
   53.7739    18.8774
   54.0704    17.2808
   54.3668    19.3156
   54.6633    17.8287
   54.9598    18.7644
   55.2563    19.4494
   55.5528    18.4143
   55.8492    18.4007
   56.1457    19.6544
   56.4422    18.5629
   56.7387    18.0167
   57.0352    19.0256
   57.3317    17.8108
   57.6281    19.3434
   57.9246    19.6544
   58.2211    19.4405
   58.5176    19.6544
   58.8141    16.2848
   59.1106    19.2280
   59.4070    19.6544
   59.7035    17.8622
   60.0000    19.3113
