# Speed (Mbps)   Latency (ms)
    1.0000     2.0771
    1.2965     0.0000
    1.5930     0.5020
    1.8894     1.6258
    2.1859     1.2191
    2.4824     0.0000
    2.7789     0.0000
    3.0754     0.0000
    3.3719     0.0000
    3.6683     0.8570
    3.9648     0.0000
    4.2613     0.0000
    4.5578     0.0606
    4.8543     0.2236
    5.1508     0.0999
    5.4472     3.2752
    5.7437     1.8985
    6.0402     3.4576
    6.3367     0.5375
    6.6332     1.2145
    6.9296     3.9076
    7.2261     1.3743
    7.5226     0.7960
    7.8191     0.5834
    8.1156     0.0000
    8.4121     0.0000
    8.7085     2.1070
    9.0050     0.8443
    9.3015     0.0000
    9.5980     0.4548
    9.8945     1.1194
   10.1910     0.0000
   10.4874     2.7362
   10.7839     0.2977
   11.0804     0.0000
   11.3769     0.0000
   11.6734     0.0000
   11.9698     0.5702
   12.2663     3.5888
   12.5628     2.6451
   12.8593     2.9795
   13.1558     2.1553
   13.4523     1.4434
   13.7487     4.5869
   14.0452     4.1928
   14.3417     0.8031
   14.6382     0.5705
   14.9347     0.0321
   15.2312     0.0645
   15.5276     4.8533
   15.8241     3.7873
   16.1206     4.4565
   16.4171     2.6823
   16.7136     5.3646
   17.0101     4.0351
   17.3065     2.7430
   17.6030     4.7462
   17.8995     3.0891
   18.1960     4.8723
   18.4925     0.0384
   18.7889     1.8819
   19.0854     2.3746
   19.3819     5.1455
   19.6784     8.8853
   19.9749     4.3572
   20.2714     5.9691
   20.5678     5.4136
   20.8643     4.8411
   21.1608     4.1384
   21.4573     4.8315
   21.7538     4.9452
   22.0503     3.4404
   22.3467     6.3462
   22.6432     3.2302
   22.9397     6.9599
   23.2362     5.4287
   23.5327     4.5970
   23.8291     4.1018
   24.1256     7.5422
   24.4221     5.6010
   24.7186     6.0247
   25.0151     3.2146
   25.3116     6.7781
   25.6080     6.6101
   25.9045     9.4795
   26.2010     7.7293
   26.4975     5.2280
   26.7940     9.6224
   27.0905     7.7125
   27.3869     8.0244
   27.6834    11.5617
   27.9799    10.3710
   28.2764     7.8939
   28.5729     7.5868
   28.8693     5.5949
   29.1658     8.6756
   29.4623     7.2194
   29.7588     8.1177
   30.0553     6.9496
   30.3518     5.9948
   30.6482     9.2558
   30.9447     7.0683
   31.2412    10.0533
   31.5377     9.7885
   31.8342    13.7882
   32.1307     8.5400
   32.4271    13.3871
   32.7236    10.8444
   33.0201     6.1740
   33.3166     9.8254
   33.6131    10.7969
   33.9095    11.2692
   34.2060    14.4542
   34.5025    11.3203
   34.7990    11.3010
   35.0955     9.4908
   35.3920    11.4558
   35.6884    12.6791
   35.9849    11.4713
   36.2814    13.8665
   36.5779    13.0879
   36.8744    12.1745
   37.1709    16.6101
   37.4673    14.5733
   37.7638    11.6226
   38.0603    11.8811
   38.3568    24.5581
   38.6533    25.6520
   38.9497    26.3283
   39.2462    25.6756
   39.5427    30.0654
   39.8392    21.1933
   40.1357    24.6164
   40.4322    27.1568
   40.7286    27.3857
   41.0251    25.7804
   41.3216    26.9701
   41.6181    26.3952
   41.9146    22.3145
   42.2111    25.0229
   42.5075    27.2885
   42.8040    26.9404
   43.1005    24.9422
   43.3970    22.4711
   43.6935    27.1080
   43.9899    27.8889
   44.2864    23.7800
   44.5829    24.1290
   44.8794    23.2913
   45.1759    29.8139
   45.4724    26.0611
   45.7688    25.2788
   46.0653    27.5669
   46.3618    22.1642
   46.6583    22.2517
   46.9548    24.7658
   47.2513    25.0354
   47.5477    26.2698
   47.8442    23.5543
   48.1407    23.8077
   48.4372    23.9156
   48.7337    26.9864
   49.0302    27.4598
   49.3266    25.6796
   49.6231    22.7305
   49.9196    25.9748
   50.2161    21.7928
   50.5126    27.3801
   50.8090    25.0756
   51.1055    27.7634
   51.4020    24.1882
   51.6985    23.5128
   51.9950    30.6115
   52.2915    30.1416
   52.5879    25.7259
   52.8844    29.7361
   53.1809    30.2755
   53.4774    31.1638
   53.7739    29.8141
   54.0704    28.5282
   54.3668    30.4977
   54.6633    29.7616
   54.9598    33.5119
   55.2563    32.2573
   55.5528    32.9522
   55.8492    33.1736
   56.1457    31.4503
   56.4422    33.9248
   56.7387    27.9811
   57.0352    30.1582
   57.3317    29.2019
   57.6281    30.3385
   57.9246    31.5303
   58.2211    32.9319
   58.5176    33.7645
   58.8141    33.5661
   59.1106    32.8885
   59.4070    33.6478
   59.7035    35.4278
   60.0000    40.5906
