# Speed (Mbps)   Latency (ms)
    1.0000    10.0367
    1.2965     8.9185
    1.5930    11.2031
    1.8894    10.5256
    2.1859     8.7784
    2.4824     7.7996
    2.7789     9.2806
    3.0754    12.5336
    3.3719    10.4363
    3.6683    12.1141
    3.9648     9.4737
    4.2613    10.1820
    4.5578     9.3076
    4.8543    10.5185
    5.1508     9.8916
    5.4472    10.6215
    5.7437    10.9571
    6.0402     9.6429
    6.3367    10.3488
    6.6332    12.2433
    6.9296    10.9338
    7.2261    11.3903
    7.5226    11.0928
    7.8191    11.7083
    8.1156    11.8118
    8.4121    12.6376
    8.7085    12.4662
    9.0050    12.3061
    9.3015    12.0245
    9.5980    12.3252
    9.8945    11.3478
   10.1910    12.8474
   10.4874    11.8848
   10.7839    10.2484
   11.0804    10.9162
   11.3769    12.7567
   11.6734    10.1860
   11.9698    11.9758
   12.2663    10.5697
   12.5628    11.1325
   12.8593    11.6277
   13.1558    12.8034
   13.4523    12.9741
   13.7487    11.8400
   14.0452    12.0273
   14.3417    10.6463
   14.6382    11.6696
   14.9347    13.7838
   15.2312    11.1027
   15.5276    12.5539
   15.8241    12.2277
   16.1206    12.5463
   16.4171    12.5245
   16.7136    11.6360
   17.0101    12.9881
   17.3065    12.7242
   17.6030    12.6731
   17.8995    14.0892
   18.1960    13.4983
   18.4925    12.6036
   18.7889    12.1944
   19.0854    13.5993
   19.3819    14.4224
   19.6784    11.6903
   19.9749    13.1054
   20.2714    12.8055
   20.5678    14.7743
   20.8643    13.0118
   21.1608    12.8897
   21.4573    12.7820
   21.7538    13.5916
   22.0503    14.1326
   22.3467    13.6162
   22.6432    12.9885
   22.9397    11.8927
   23.2362    15.0807
   23.5327    13.1031
   23.8291    14.6836
   24.1256    12.2432
   24.4221    12.8065
   24.7186    12.4201
   25.0151    13.5288
   25.3116    15.5107
   25.6080    13.3157
   25.9045    14.2032
   26.2010    14.1019
   26.4975    13.5171
   26.7940    15.1665
   27.0905    13.7899
   27.3869    13.1326
   27.6834    15.1437
   27.9799    13.6732
   28.2764    14.4382
   28.5729    14.7783
   28.8693    13.7881
   29.1658    13.4552
   29.4623    13.9836
   29.7588    16.9260
   30.0553    13.5210
   30.3518    14.7091
   30.6482    16.0027
   30.9447    13.3934
   31.2412    16.3655
   31.5377    14.8619
   31.8342    16.0598
   32.1307    15.9448
   32.4271    15.3304
   32.7236    14.8490
   33.0201    15.7337
   33.3166    15.7606
   33.6131    15.7921
   33.9095    17.2450
   34.2060    16.9837
   34.5025    17.0267
   34.7990    14.4619
   35.0955    16.2821
   35.3920    16.8144
   35.6884    14.0373
   35.9849    15.0520
   36.2814    15.5537
   36.5779    17.6904
   36.8744    16.1550
   37.1709    16.4956
   37.4673    16.2726
   37.7638    16.2934
   38.0603    17.4023
   38.3568    18.0270
   38.6533    13.9362
   38.9497    16.0543
   39.2462    17.5530
   39.5427    15.9774
   39.8392    16.6370
   40.1357    16.5749
   40.4322    15.8999
   40.7286    16.9349
   41.0251    17.4972
   41.3216    17.2888
   41.6181    18.9025
   41.9146    14.5618
   42.2111    17.4512
   42.5075    16.4775
   42.8040    17.1270
   43.1005    17.0180
   43.3970    16.6561
   43.6935    16.6305
   43.9899    16.7551
   44.2864    19.8295
   44.5829    18.8719
   44.8794    18.4703
   45.1759    16.3251
   45.4724    17.1217
   45.7688    17.0361
   46.0653    16.7387
   46.3618    16.1958
   46.6583    17.7615
   46.9548    17.7595
   47.2513    16.8608
   47.5477    18.5508
   47.8442    17.2412
   48.1407    18.2783
   48.4372    18.6903
   48.7337    19.6429
   49.0302    18.5709
   49.3266    19.1300
   49.6231    19.2341
   49.9196    17.3539
   50.2161    17.6185
   50.5126    18.1716
   50.8090    19.8537
   51.1055    19.2645
   51.4020    18.4347
   51.6985    19.3988
   51.9950    19.5330
   52.2915    18.7747
   52.5879    19.5481
   52.8844    16.5319
   53.1809    19.3763
   53.4774    18.8127
   53.7739    18.1985
   54.0704    17.6399
   54.3668    17.2768
   54.6633    17.4475
   54.9598    19.9693
   55.2563    18.7183
   55.5528    19.9693
   55.8492    17.8013
   56.1457    19.9693
   56.4422    18.9509
   56.7387    19.9693
   57.0352    19.0706
   57.3317    18.5229
   57.6281    19.4160
   57.9246    19.6866
   58.2211    19.9693
   58.5176    19.4850
   58.8141    19.9693
   59.1106    19.0540
   59.4070    18.7658
   59.7035    19.9693
   60.0000    18.8515
