# Speed (Mbps)   Latency (ms)
    1.0000     0.0000
    1.2965     0.0000
    1.5930     0.0000
    1.8894     0.0000
    2.1859     0.0000
    2.4824     0.0000
    2.7789     0.0000
    3.0754     0.0000
    3.3719     2.3468
    3.6683     0.0000
    3.9648     0.0000
    4.2613     0.0000
    4.5578     2.1659
    4.8543     0.8600
    5.1508     0.0000
    5.4472     0.0000
    5.7437     4.1031
    6.0402     0.4625
    6.3367     0.0000
    6.6332     2.4409
    6.9296     4.6370
    7.2261     0.0000
    7.5226     0.0000
    7.8191     1.2877
    8.1156     0.0000
    8.4121     0.0000
    8.7085     2.0189
    9.0050     0.3810
    9.3015     0.0000
    9.5980     0.0000
    9.8945     1.3717
   10.1910     4.2290
   10.4874     2.0417
   10.7839     3.8169
   11.0804     0.7869
   11.3769     3.2743
   11.6734     2.3338
   11.9698     3.2769
   12.2663     0.9989
   12.5628     3.0692
   12.8593     0.8973
   13.1558     3.8239
   13.4523     2.7066
   13.7487     0.7700
   14.0452     0.0000
   14.3417     2.0859
   14.6382     4.9445
   14.9347     1.4810
   15.2312     2.7734
   15.5276     0.0000
   15.8241     5.2183
   16.1206     2.2762
   16.4171     4.5757
   16.7136     2.6038
   17.0101     2.2700
   17.3065     1.3471
   17.6030     3.8414
   17.8995     3.3156
   18.1960     4.2106
   18.4925     2.3179
   18.7889     2.3909
   19.0854     2.9810
   19.3819     5.1774
   19.6784     2.9054
   19.9749     1.2838
   20.2714     6.1099
   20.5678     4.6042
   20.8643     7.1243
   21.1608     2.0533
   21.4573     8.2410
   21.7538     2.9482
   22.0503     5.4912
   22.3467     3.9062
   22.6432     4.6598
   22.9397     3.3761
   23.2362     6.5733
   23.5327     6.5597
   23.8291     6.9736
   24.1256     4.2408
   24.4221     7.5359
   24.7186     8.0059
   25.0151     7.2380
   25.3116     6.7783
   25.6080     6.6580
   25.9045     9.3307
   26.2010     6.2388
   26.4975     9.4756
   26.7940     4.4252
   27.0905     6.0061
   27.3869     8.0044
   27.6834     7.7936
   27.9799     6.6308
   28.2764    10.1109
   28.5729     9.1307
   28.8693     8.7736
   29.1658     7.0468
   29.4623     9.4342
   29.7588    10.1843
   30.0553    12.0867
   30.3518     8.6370
   30.6482    11.9823
   30.9447     7.1256
   31.2412     9.5082
   31.5377    13.7089
   31.8342     9.1811
   32.1307     9.8906
   32.4271     8.4858
   32.7236    13.5498
   33.0201     9.7479
   33.3166    12.4408
   33.6131    10.4161
   33.9095    10.6592
   34.2060    11.6080
   34.5025    11.2606
   34.7990    12.7386
   35.0955    12.9521
   35.3920    13.9898
   35.6884    10.6035
   35.9849    13.6387
   36.2814    13.4137
   36.5779    12.0200
   36.8744    11.3848
   37.1709    14.5803
   37.4673    13.6179
   37.7638    14.3809
   38.0603     9.9357
   38.3568    17.2434
   38.6533    14.8232
   38.9497    17.8052
   39.2462    13.1232
   39.5427    12.4448
   39.8392    17.5186
   40.1357    18.0902
   40.4322    19.5811
   40.7286    18.5244
   41.0251    17.8635
   41.3216    18.8986
   41.6181    22.1617
   41.9146    25.7775
   42.2111    26.1895
   42.5075    28.5321
   42.8040    27.3079
   43.1005    26.7548
   43.3970    23.3146
   43.6935    27.4854
   43.9899    23.6685
   44.2864    27.5146
   44.5829    25.7145
   44.8794    25.1424
   45.1759    25.1995
   45.4724    24.6488
   45.7688    26.3947
   46.0653    28.4384
   46.3618    24.8524
   46.6583    24.2707
   46.9548    20.8267
   47.2513    24.0782
   47.5477    22.8489
   47.8442    25.8509
   48.1407    27.8597
   48.4372    25.7441
   48.7337    25.7496
   49.0302    25.7850
   49.3266    24.6172
   49.6231    24.7687
   49.9196    25.1880
   50.2161    25.1248
   50.5126    26.6467
   50.8090    25.0235
   51.1055    20.2617
   51.4020    25.7684
   51.6985    25.8539
   51.9950    25.1639
   52.2915    25.4827
   52.5879    25.7632
   52.8844    24.7190
   53.1809    26.6388
   53.4774    25.9741
   53.7739    25.1723
   54.0704    24.6148
   54.3668    25.7846
   54.6633    29.1181
   54.9598    21.2843
   55.2563    26.5533
   55.5528    26.0206
   55.8492    25.5659
   56.1457    26.0969
   56.4422    28.2296
   56.7387    28.7546
   57.0352    29.5239
   57.3317    31.2136
   57.6281    27.9492
   57.9246    31.4940
   58.2211    27.5954
   58.5176    29.4288
   58.8141    29.4726
   59.1106    31.1540
   59.4070    30.4189
   59.7035    30.0925
   60.0000    30.5023
